Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 3.35 .49 1.75 1.56 .03 .20 8.66 21.00 25.66 44.66 
0.1 CO-DMO 3.01 .49 1.61 1.35 .05 .23 13.33 13.00 27.33 46.33 
0.1 Offloading 6.76 .09 5.05 1.66 .04 .23 100.00 0 0 0 
0.1 DVS 4.10 .61 2.20 1.90 0 0 8.00 17.00 26.66 48.33 
0.1 Baseline 7.78 .11 6.21 1.57 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 5.36 .98 3.41 1.84 .10 .24 9.33 16.66 35.00 39.00 
0.2 CO-DMO 5.63 .97 3.84 1.67 .12 .23 12.33 19.33 28.66 39.66 
0.2 Offloading 10.63 .17 8.75 1.76 .11 .26 100.00 0 0 0 
0.2 DVS 6.89 1.00 5.26 1.62 0 0 10.66 23.66 40.33 25.33 
0.2 Baseline 13.22 .23 11.65 1.57 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 9.29 1.00 6.83 2.27 .18 .27 14.66 29.66 38.33 17.33 
0.3 CO-DMO 9.28 .99 6.72 2.35 .19 .26 14.00 31.33 37.00 17.66 
0.3 Offloading 14.94 .26 12.87 1.90 .17 .26 100.00 0 0 0 
0.3 DVS 13.28 .99 10.95 2.32 0 0 21.00 44.66 28.00 6.33 
0.3 Baseline 19.22 .36 17.49 1.73 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 13.25 .99 10.68 2.29 .27 .26 22.33 39.66 28.33 9.66 
0.4 CO-DMO 13.19 .99 10.09 2.88 .21 .26 20.66 36.33 33.33 9.66 
0.4 Offloading 19.58 .35 16.92 2.41 .24 .26 100.00 0 0 0 
0.4 DVS 19.24 1.00 15.99 3.24 0 0 37.33 38.66 22.33 1.66 
0.4 Baseline 24.11 .48 22.68 1.43 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 20.91 .99 17.76 2.92 .22 .19 48.33 31.00 17.66 3.00 
0.5 CO-DMO 18.26 1.00 15.30 2.67 .28 .23 34.33 40.00 23.00 2.66 
0.5 Offloading 23.00 .43 20.54 2.14 .31 .26 100.00 0 0 0 
0.5 DVS 26.42 .99 23.49 2.92 0 0 56.00 33.33 10.33 .33 
0.5 Baseline 30.46 .60 28.35 2.10 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 33.12 .99 30.13 2.99 0 0 71.00 23.00 6.00 0 
0.6 CO-DMO 32.30 .99 29.11 3.18 0 0 67.66 27.00 5.33 0 
0.6 Offloading 28.23 .53 25.38 2.51 .33 .26 100.00 0 0 0 
0.6 DVS 34.56 .99 31.16 3.40 0 0 74.66 19.00 6.33 0 
0.6 Baseline 35.72 .74 34.17 1.54 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 40.70 .99 37.35 3.35 0 0 85.33 12.33 2.33 0 
0.7 CO-DMO 40.06 .99 36.53 3.53 0 0 82.33 16.00 1.66 0 
0.7 Offloading 32.21 .62 29.29 2.47 .44 .26 100.00 0 0 0 
0.7 DVS 39.62 .99 36.31 3.30 0 0 83.66 14.33 2.00 0 
0.7 Baseline 41.59 .86 39.79 1.79 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 46.92 .99 43.06 3.85 0 0 93.00 6.66 .33 0 
0.8 CO-DMO 48.48 .99 44.09 4.39 0 0 95.00 4.66 .33 0 
0.8 Offloading 36.30 .71 33.22 2.57 .50 .27 100.00 0 0 0 
0.8 DVS 46.94 .99 42.93 4.01 0 0 93.00 7.00 0 0 
0.8 Baseline 47.82 .98 45.49 2.33 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 56.72 1.01 49.49 7.22 0 0 100.00 0 0 0 
0.9 CO-DMO 54.62 1.01 48.39 6.22 0 0 99.33 .66 0 0 
0.9 Offloading 40.72 .80 37.63 2.61 .47 .26 100.00 0 0 0 
0.9 DVS 56.37 1.00 49.24 7.13 0 0 100.00 0 0 0 
0.9 Baseline 55.32 1.00 48.67 6.65 0 0 100.00 0 0 0 
