Workload,Section,Power,Util,CPU_Power,Memory_Power,Network_Power,Offloading_Ratio,CPU_Frequency_1,CPU_Frequency_0.5,CPU_Frequency_0.25,CPU_Frequency_0.125,Num_Offloading
0.1,Baseline,6.620783,0.064634,3.894039,2.726744,0,0,100,0,0,0,0
0.1,DVFS,4.047711,0.33296,1.293982,2.753728,0,0,9,18,29,44,0
0.1,Offloading,3.039159,0.013315,0.604908,2.030216,0.404035,0.8,100,0,0,0,80
0.1,CO-DMO,3.307835,0.137937,0.552554,2.477626,0.277654,0.57,19,20,34,27,57
0.2,Baseline,12.290793,0.192787,9.638405,2.652388,0,0,100,0,0,0,0
0.2,DVFS,6.405776,0.974721,3.778467,2.62731,0,0,4,25,32,39,0
0.2,Offloading,5.10636,0.036597,1.68245,2.29595,1.12796,0.8,100,0,0,0,80
0.2,CO-DMO,4.05775,0.300246,0.868478,2.173801,1.015471,0.76,14,16,28,42,76
0.3,Baseline,17.968297,0.315275,15.142146,2.826152,0,0,100,0,0,0,0
0.3,DVFS,11.132598,0.999785,8.324827,2.807771,0,0,15,32,47,6,0
0.3,Offloading,7.534269,0.060975,2.799457,2.834237,1.900576,0.81,100,0,0,0,81
0.3,CO-DMO,5.042875,0.586661,1.177766,2.135797,1.729312,0.72,9,18,26,47,72
0.4,Baseline,23.711145,0.44869,21.115806,2.595339,0,0,100,0,0,0,0
0.4,DVFS,18.234313,1.004763,14.492721,3.741592,0,0,34,36,27,3,0
0.4,Offloading,8.800953,0.07382,3.394822,2.546667,2.859464,0.84,100,0,0,0,84
0.4,CO-DMO,6.948721,0.57759,1.463618,2.757289,2.727814,0.8,6,28,27,39,80
0.5,Baseline,28.927025,0.562734,26.224551,2.702474,0,0,100,0,0,0,0
0.5,DVFS,24.253734,0.999121,20.381703,3.872031,0,0,49,35,15,1,0
0.5,Offloading,10.821905,0.075911,3.507047,3.601117,3.713741,0.87,100,0,0,0,87
0.5,CO-DMO,8.144214,0.700823,1.544461,3.154504,3.445248,0.81,18,21,30,31,81
0.6,Baseline,36.270452,0.738034,34.03173,2.238722,0,0,100,0,0,0,0
0.6,DVFS,32.927415,0.999885,29.991248,2.936167,0,0,75,19,6,0,0
0.6,Offloading,12.495141,0.093396,4.241251,3.355892,4.897998,0.88,100,0,0,0,88
0.6,CO-DMO,9.686968,0.945907,2.551972,2.830683,4.304313,0.79,22,18,31,29,79
0.7,Baseline,40.079113,0.822383,37.80436,2.274753,0,0,100,0,0,0,0
0.7,DVFS,37.871685,1.000592,34.535095,3.33659,0,0,82,14,4,0,0
0.7,Offloading,12.465251,0.075312,3.604273,3.367459,5.493519,0.91,100,0,0,0,91
0.7,CO-DMO,9.168259,0.918194,2.051651,2.147215,4.969393,0.83,21,20,30,29,83
0.8,Baseline,45.042346,0.924034,42.444281,2.598065,0,0,100,0,0,0,0
0.8,DVFS,44.166803,0.99996,39.626327,4.540476,0,0,87,13,0,0,0
0.8,Offloading,16.090246,0.146435,6.779719,3.545309,5.765218,0.83,100,0,0,0,83
0.8,CO-DMO,11.428314,0.78522,3.124062,2.594018,5.710233,0.82,34,21,22,23,82
0.9,Baseline,53.316261,1.000117,47.725743,5.590518,0,0,100,0,0,0,0
0.9,DVFS,53.228866,1.000217,47.728057,5.500809,0,0,100,0,0,0,0
0.9,Offloading,17.742468,0.150562,7.114467,3.729866,6.898135,0.86,100,0,0,0,86
0.9,CO-DMO,16.762527,0.902825,7.318297,3.168019,6.276211,0.74,32,24,29,15,74
0.1,CO-DMO-CT,2.43,0.18,0.44,1.5,0.48,0.7,15.33,17,31.33,36.33,
0.2,CO-DMO-CT,4.27,0.34,0.99,2.12,1.15,0.73,12.66,24.66,27,35.66,
0.3,CO-DMO-CT,5.05,0.46,1.08,2.02,1.93,0.79,15.66,16,30.33,38,
0.4,CO-DMO-CT,6.44,0.58,1.42,2.37,2.64,0.79,16.33,23.33,29.66,30.66,
0.5,CO-DMO-CT,7.37,0.72,1.57,2.36,3.43,0.81,14,23.33,29.33,33.33,
0.6,CO-DMO-CT,8.76,0.77,2.03,2.49,4.23,0.82,18.66,27.66,23,30.66,
0.7,CO-DMO-CT,9.86,0.94,2.41,2.47,4.97,0.81,20.66,22,29.33,28,
0.8,CO-DMO-CT,12.81,0.91,4.56,2.82,5.42,0.77,22.66,27,30.33,20,
0.9,CO-DMO-CT,14.02,0.82,4.67,2.94,6.4,0.82,25,25,30,20,
