Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.83 .16 .52 1.18 .12 .76 10.00 33.00 26.00 31.00 
0.1 CO-DMO 2.45 .17 .52 1.77 .15 .75 24.00 11.00 27.00 38.00 
0.1 Offloading 3.48 .03 2.33 .96 .18 .78 100.00 0 0 0 
0.1 DVS 3.76 .56 2.26 1.50 0 0 8.00 18.00 36.00 38.00 
0.1 Baseline 8.02 .11 6.14 1.88 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 3.11 .39 1.01 1.71 .38 .74 15.00 14.00 33.00 38.00 
0.2 CO-DMO 3.48 .50 1.32 1.84 .31 .66 10.00 21.00 28.00 41.00 
0.2 Offloading 4.91 .04 3.00 1.55 .34 .80 100.00 0 0 0 
0.2 DVS 7.02 .99 5.28 1.74 0 0 5.00 29.00 42.00 24.00 
0.2 Baseline 12.84 .23 11.45 1.38 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.85 .51 1.53 1.80 .51 .77 15.00 24.00 22.00 39.00 
0.3 CO-DMO 3.50 .54 1.33 1.68 .48 .76 16.00 17.00 30.00 37.00 
0.3 Offloading 5.97 .05 3.71 1.65 .60 .83 100.00 0 0 0 
0.3 DVS 12.41 .99 10.36 2.04 0 0 25.00 31.00 38.00 6.00 
0.3 Baseline 19.69 .38 18.05 1.63 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 3.79 .59 1.56 1.67 .56 .81 11.00 24.00 26.00 39.00 
0.4 CO-DMO 4.96 .78 1.81 2.49 .65 .76 18.00 21.00 23.00 38.00 
0.4 Offloading 7.76 .07 4.62 2.40 .73 .84 100.00 0 0 0 
0.4 DVS 19.40 .99 16.25 3.14 0 0 38.00 39.00 20.00 3.00 
0.4 Baseline 24.94 .48 22.79 2.15 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 5.05 .66 2.15 2.02 .87 .82 21.00 20.00 32.00 27.00 
0.5 CO-DMO 5.21 .69 2.18 2.26 .76 .80 22.00 21.00 33.00 24.00 
0.5 Offloading 9.81 .12 6.64 2.23 .94 .81 100.00 0 0 0 
0.5 DVS 25.29 1.00 22.57 2.72 0 0 51.00 38.00 11.00 0 
0.5 Baseline 29.72 .61 28.25 1.47 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 6.14 .85 2.76 2.22 1.14 .78 15.00 19.00 34.00 32.00 
0.6 CO-DMO 5.74 .80 2.64 2.16 .94 .79 12.00 20.00 34.00 34.00 
0.6 Offloading 10.42 .13 7.04 2.17 1.19 .84 100.00 0 0 0 
0.6 DVS 32.87 1.00 29.51 3.36 0 0 71.00 21.00 8.00 0 
0.6 Baseline 35.62 .74 34.15 1.46 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 6.16 .85 2.50 2.33 1.32 .83 24.00 19.00 28.00 29.00 
0.7 CO-DMO 5.76 .72 1.90 2.39 1.46 .86 20.00 23.00 32.00 25.00 
0.7 Offloading 12.39 .14 7.91 3.09 1.39 .84 100.00 0 0 0 
0.7 DVS 41.44 1.00 37.15 4.28 0 0 82.00 17.00 1.00 0 
0.7 Baseline 40.40 .86 39.36 1.04 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 10.56 .94 5.51 3.34 1.70 .77 25.00 27.00 29.00 19.00 
0.8 CO-DMO 10.20 .89 6.32 2.37 1.51 .75 28.00 29.00 21.00 22.00 
0.8 Offloading 11.94 .13 7.21 2.82 1.90 .87 100.00 0 0 0 
0.8 DVS 47.65 1.00 43.55 4.10 0 0 94.00 6.00 0 0 
0.8 Baseline 45.93 .96 44.47 1.46 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 13.94 .84 8.69 3.86 1.37 .71 31.00 35.00 25.00 9.00 
0.9 CO-DMO 25.35 1.00 20.84 3.43 1.08 .49 63.00 20.00 12.00 5.00 
0.9 Offloading 14.35 .19 9.90 2.69 1.75 .83 100.00 0 0 0 
0.9 DVS 55.18 .99 48.51 6.66 0 0 100.00 0 0 0 
0.9 Baseline 52.20 .99 47.61 4.58 0 0 100.00 0 0 0 
