# generation power_min power_avg power_max util_min util_avg util_max
1 16.648232 16.648232 16.648232 1.006671 1.288865 1.497802
10 16.952116 16.952116 16.952116 0.953277 1.261130 1.491296
20 16.952116 16.580739 16.952116 0.953277 1.238513 1.442251
30 16.952116 16.580739 16.952116 0.953277 1.219969 1.442251
40 16.952116 16.580739 16.952116 0.953277 1.197918 1.373617
50 16.952116 16.127477 16.952116 0.953277 1.174047 1.340131
60 16.952116 16.117251 16.952116 0.953277 1.151669 1.340131
70 16.952116 15.989195 16.952116 0.953277 1.127130 1.289102
80 16.952116 16.060156 16.952116 0.953277 1.105924 1.289102
90 16.952116 15.823453 16.952116 0.943743 1.084985 1.271673
100 16.952116 15.733132 16.952116 0.943743 1.065079 1.233252
110 16.952116 15.663566 16.952116 0.943743 1.047406 1.192064
120 16.952116 15.488787 16.952116 0.943743 1.034923 1.156790
130 16.952116 15.406011 16.952116 0.943743 1.022522 1.129475
140 16.658737 15.279556 16.658737 0.943743 1.015070 1.121749
150 16.344538 15.184729 16.344538 0.943743 1.007660 1.110861
160 16.209362 15.101396 16.209362 0.943743 1.003078 1.069933
170 16.025933 14.981000 16.025933 0.943743 0.998841 1.069933
180 15.859285 14.858586 15.859285 0.943743 0.995953 1.068289
190 15.527587 14.768762 15.527587 0.943743 0.994764 1.054144
200 15.387820 14.639848 15.387820 0.952916 0.995236 1.054144
210 15.220952 14.566610 15.220952 0.952916 0.994896 1.036510
220 15.088730 14.434609 15.088730 0.956149 0.996083 1.032515
230 14.921871 14.328438 14.921871 0.957537 0.997596 1.032515
240 14.815651 14.243681 14.815651 0.959102 0.998561 1.032515
250 14.560074 14.178990 14.560074 0.962142 0.999096 1.032515
260 14.485562 14.114751 14.485562 0.972484 0.998517 1.032515
270 13.484966 14.039255 14.368757 0.972484 0.999213 1.032515
280 14.249514 13.989697 14.249514 0.972484 0.998823 1.023405
290 14.196561 13.958680 14.196561 0.972484 0.998371 1.023405
300 14.142695 13.908713 14.142695 0.972484 0.998613 1.023405
310 14.099880 13.858246 14.099880 0.980290 0.999762 1.023405
320 14.042013 13.805133 14.042013 0.980290 1.000385 1.023405
330 14.023382 13.799488 14.023382 0.980290 1.000437 1.023405
340 13.946927 13.755825 13.946927 0.984400 1.001013 1.023973
350 13.946927 13.727734 13.946927 0.984400 1.001378 1.023973
360 13.881883 13.677843 13.881883 0.984400 1.001772 1.023973
370 13.780503 13.640457 13.780503 0.979773 1.001761 1.023973
380 13.780503 13.587604 13.780503 0.971023 1.000956 1.023973
390 13.758485 13.523665 13.758485 0.971023 1.000896 1.023973
400 13.723043 13.485071 13.723043 0.971023 1.000448 1.023973
410 13.692420 13.421280 13.692420 0.971023 0.999826 1.023973
420 13.627418 13.378486 13.627418 0.971023 0.999461 1.023973
430 13.570993 13.337217 13.570993 0.971023 0.999357 1.023973
440 13.526484 13.315305 13.526484 0.971023 0.998402 1.014001
450 13.064558 13.280741 13.484966 0.971023 0.997812 1.014001
460 13.064558 13.270355 13.463966 0.971023 0.996915 1.012324
470 13.064558 13.243306 13.431289 0.971023 0.996528 1.012324
480 13.064558 13.209835 13.386391 0.971023 0.996348 1.010806
490 13.064558 13.175771 13.300049 0.971023 0.996812 1.003815
500 13.064558 13.144217 13.270084 0.979773 0.997399 1.003815
510 13.064558 13.122237 13.186695 0.986190 0.997881 1.003815
520 13.064558 13.116954 13.181830 0.986190 0.997566 1.003815
530 13.031658 13.111678 13.181830 0.986190 0.996978 1.003815
540 13.031658 13.108201 13.181830 0.986190 0.996339 1.003815
550 13.031658 13.102413 13.181830 0.986190 0.995583 1.003815
560 13.031658 13.092083 13.180937 0.986190 0.994888 1.003815
570 13.031658 13.084008 13.147981 0.986190 0.994451 1.003285
580 13.031658 13.081871 13.147981 0.986190 0.993440 1.003285
590 13.031658 13.076353 13.138583 0.986190 0.993000 1.003285
600 13.031658 13.070312 13.122597 0.986190 0.992718 1.001990
610 13.031658 13.064247 13.120040 0.986190 0.992567 1.001990
620 13.031658 13.061780 13.074678 0.989908 0.992194 0.999648
630 13.031658 13.060692 13.064558 0.989908 0.992188 0.994313
640 13.031658 13.060034 13.064558 0.989908 0.992235 0.994313
650 13.031658 13.059129 13.064558 0.989908 0.992240 0.994313
660 13.031658 13.056826 13.064558 0.989908 0.992404 0.994313
670 13.019318 13.055387 13.064558 0.989908 0.992477 0.994313
680 13.019318 13.052508 13.064558 0.989908 0.992623 0.994313
690 13.019318 13.049753 13.064558 0.989908 0.992790 0.994313
700 13.019318 13.046997 13.064558 0.989908 0.992957 0.994313
710 13.019318 13.043707 13.064558 0.989908 0.993191 0.994313
720 13.019318 13.040294 13.064558 0.989908 0.993404 0.994313
730 13.019318 13.036881 13.064558 0.989908 0.993618 0.994313
740 13.019318 13.033467 13.064558 0.989908 0.993832 0.994313
750 13.019318 13.030918 13.031658 0.992250 0.994190 0.994313
760 13.019318 13.030794 13.031658 0.992250 0.994169 0.994313
770 13.019318 13.030424 13.031658 0.992250 0.994107 0.994313
780 13.019318 13.030177 13.031658 0.992250 0.994066 0.994313
790 13.019318 13.029807 13.031658 0.992250 0.994004 0.994313
800 13.019318 13.029437 13.031658 0.992250 0.993942 0.994313
810 13.019318 13.028943 13.031658 0.992250 0.993859 0.994313
820 13.019318 13.028326 13.031658 0.992250 0.993756 0.994313
830 13.019318 13.027463 13.031658 0.992250 0.993612 0.994313
840 13.019318 13.026599 13.031658 0.992250 0.993467 0.994313
850 13.019318 13.025365 13.031658 0.992250 0.993261 0.994313
860 13.019318 13.024254 13.031658 0.992250 0.993076 0.994313
870 13.019318 13.023020 13.031658 0.992250 0.992869 0.994313
880 13.019318 13.021786 13.031658 0.992250 0.992663 0.994313
890 13.019318 13.020552 13.031658 0.992250 0.992457 0.994313
900 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
910 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
920 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
930 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
940 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
950 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
960 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
970 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
980 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
990 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1000 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1010 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1020 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1030 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1040 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1050 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1060 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
1070 13.019318 13.019318 13.019318 0.992250 0.992250 0.992250
