# generation power_min power_avg power_max util_min util_avg util_max
1 12.686746 15.242247 17.476959 0.147123 0.185281 0.235109
10 12.686746 15.027933 16.471122 0.147123 0.181335 0.216359
20 12.686746 14.778000 15.947938 0.146783 0.177533 0.214192
30 12.686746 14.570353 15.704324 0.146783 0.175335 0.209364
40 12.648205 14.342607 15.442297 0.146783 0.172739 0.202771
50 11.930033 14.122778 15.257563 0.136763 0.170282 0.202771
60 11.930033 13.939075 15.052766 0.136763 0.167317 0.202771
70 11.463368 13.711221 14.875881 0.116991 0.162470 0.202771
80 11.463368 13.501873 14.743956 0.116991 0.159667 0.194643
90 11.176307 13.252508 14.423908 0.116991 0.156001 0.189872
100 11.035085 13.021252 14.192339 0.105050 0.152557 0.181975
110 10.517620 12.785814 14.016680 0.105050 0.149023 0.181975
120 10.517620 12.576936 13.770870 0.105050 0.146302 0.181975
130 10.517620 12.374176 13.592380 0.105050 0.143361 0.181975
140 10.062454 12.143337 13.393432 0.103485 0.139422 0.181975
150 10.062454 11.904924 13.114940 0.100398 0.135594 0.164165
160 10.062454 11.706758 12.836856 0.097378 0.132156 0.164165
170 9.556712 11.509958 12.686746 0.097378 0.128560 0.155233
180 9.556712 11.307530 12.519556 0.097378 0.125381 0.155233
190 9.556712 11.097787 12.095025 0.095075 0.121857 0.154368
200 9.443777 10.922933 11.930440 0.095075 0.118530 0.147960
210 9.443777 10.746229 11.683673 0.092094 0.115733 0.144419
220 9.313537 10.586252 11.463368 0.088791 0.112536 0.144419
230 9.313537 10.426887 11.330709 0.088791 0.109926 0.140233
240 9.304937 10.278370 11.156666 0.088791 0.107282 0.140233
250 9.233313 10.136875 10.951528 0.088791 0.105551 0.129600
260 9.233313 10.021197 10.751984 0.088791 0.104400 0.129600
270 8.992190 9.890229 10.638561 0.088791 0.103116 0.119148
280 8.949037 9.764357 10.508460 0.088791 0.101883 0.118432
290 8.949037 9.656534 10.313446 0.088791 0.100988 0.115864
300 8.659049 9.536287 10.168709 0.088791 0.100167 0.115864
310 8.659049 9.434477 10.062454 0.086970 0.099615 0.115864
320 8.659049 9.332329 9.920777 0.086970 0.098761 0.115864
330 8.520828 9.238091 9.813746 0.086970 0.097505 0.106784
340 8.433753 9.151390 9.555823 0.086970 0.097279 0.105292
350 8.394637 9.086293 9.446237 0.086970 0.096917 0.105292
360 8.349429 9.003979 9.401765 0.086970 0.096608 0.105292
370 8.294234 8.932225 9.357711 0.086970 0.096134 0.105292
380 8.294234 8.852203 9.304937 0.086970 0.095982 0.102415
390 8.280966 8.776626 9.219490 0.086970 0.096032 0.102415
