# generation power_min power_avg power_max util_min util_avg util_max
1 32.329339 32.329339 32.329339 1.104800 1.423333 1.499902
10 31.077504 16.699097 31.077504 0.960497 1.388480 1.499902
20 29.885136 16.699097 29.885136 0.960497 1.355860 1.499902
30 24.749482 16.165799 24.749482 0.934403 1.319693 1.499902
40 19.545188 16.448760 19.545188 0.892896 1.283123 1.499902
50 19.545188 16.487650 19.545188 0.892896 1.247044 1.499902
60 19.031074 16.115273 19.031074 0.892896 1.203039 1.499902
70 19.031074 15.971409 19.031074 0.892896 1.165582 1.498450
80 19.031074 15.927325 19.031074 0.892896 1.128101 1.498450
90 19.031074 15.584084 19.031074 0.833965 1.088308 1.464491
100 13.376338 15.481935 19.031074 0.792076 1.052509 1.290098
110 13.376338 15.196430 19.031074 0.792076 1.027498 1.290098
120 12.814333 15.030065 17.567153 0.792076 1.007744 1.194873
130 17.567153 14.994222 17.567153 0.792076 0.992565 1.179093
140 16.851151 14.813536 16.851151 0.774776 0.979667 1.179093
150 12.321500 14.695216 16.851151 0.774776 0.966985 1.145534
160 12.321500 14.447982 16.318753 0.774776 0.957064 1.145534
170 11.910062 14.124400 15.931115 0.774776 0.949895 1.083600
180 15.632501 13.961596 15.632501 0.774776 0.948270 1.055087
190 15.208227 13.669413 15.208227 0.774776 0.942448 1.055087
200 11.573996 13.417629 14.847437 0.774776 0.937522 1.055087
210 11.573996 13.188953 14.480359 0.768106 0.931366 1.055087
220 11.271237 12.942862 14.223238 0.768106 0.927620 1.055087
230 10.214086 12.709714 13.974238 0.768106 0.924530 1.055087
240 10.214086 12.492716 13.775313 0.768106 0.923098 1.055087
250 10.214086 12.257623 13.540080 0.768106 0.920500 1.055087
260 10.020278 12.056145 13.222955 0.768106 0.916680 1.055087
270 10.004756 11.870195 13.035594 0.768106 0.913622 1.055087
280 10.004756 11.710344 12.767037 0.768106 0.910569 1.055087
290 10.004756 11.556295 12.575223 0.768106 0.908069 1.043010
300 9.906498 11.382740 12.349054 0.708849 0.905314 1.043010
310 9.906498 11.204335 12.158039 0.708849 0.901426 1.043010
320 9.358370 11.038298 11.939149 0.708849 0.897806 1.023255
330 9.358370 10.881223 11.766154 0.708849 0.900803 1.010669
340 9.358370 10.757678 11.622131 0.708849 0.901002 1.011847
350 9.147287 10.585437 11.433694 0.708849 0.902683 1.011847
360 8.819773 10.407831 11.293595 0.767575 0.899295 1.011847
370 8.782941 10.256492 11.137702 0.767575 0.897083 1.011847
380 8.782941 10.110022 10.969874 0.767575 0.897292 1.015630
390 8.647173 9.958706 10.779728 0.767575 0.894096 1.015630
400 8.647173 9.806085 10.635545 0.767575 0.897392 1.015630
410 8.626573 9.643241 10.509525 0.764595 0.897155 1.015630
420 8.626573 9.512672 10.348294 0.764595 0.893597 1.015630
430 8.432522 9.392484 10.102877 0.764595 0.890188 1.018909
440 8.432522 9.274053 9.906498 0.764595 0.889566 1.018909
450 8.279468 9.153706 9.817697 0.746877 0.885234 1.018909
460 8.150305 9.047474 9.638724 0.746877 0.880089 1.018909
470 8.150305 8.935908 9.529577 0.703603 0.875534 1.018909
480 9.358370 8.849897 9.358370 0.703603 0.867474 1.018909
490 9.250760 8.767874 9.250760 0.703603 0.856919 1.018909
500 7.949297 8.678614 9.184596 0.703603 0.848999 1.018909
510 7.582421 8.581638 9.080407 0.703603 0.846619 1.018909
520 7.490983 8.482740 8.993436 0.703603 0.841803 1.004305
530 7.341304 8.388309 8.876146 0.703603 0.836771 1.016086
540 7.267895 8.287307 8.768376 0.703603 0.833320 1.016086
550 7.267895 8.187744 8.645457 0.703603 0.833889 1.016086
560 7.267895 8.096043 8.574215 0.703603 0.837216 1.016086
570 7.098960 7.998992 8.530836 0.703603 0.837364 1.016086
580 7.098960 7.918844 8.456705 0.688089 0.840908 1.016086
590 7.098960 7.807236 8.311315 0.688089 0.842170 1.016086
600 7.042186 7.711307 8.235600 0.688089 0.841874 1.016086
610 6.739086 7.617271 8.122491 0.688089 0.833008 1.016086
620 6.739086 7.544683 8.002486 0.688089 0.832233 1.016086
630 6.739086 7.465849 7.924146 0.688089 0.823842 1.016086
640 6.739086 7.397113 7.857238 0.705199 0.820866 0.999643
650 6.739086 7.321029 7.771908 0.705199 0.815510 0.999643
660 6.739086 7.244460 7.640357 0.705199 0.807384 0.987682
670 6.739086 7.175599 7.582421 0.708697 0.805210 0.987682
680 6.698092 7.108189 7.476329 0.685805 0.798429 0.987682
690 6.653257 7.049334 7.357386 0.664131 0.792517 0.956011
700 6.447699 6.989073 7.289911 0.664131 0.789916 0.956011
710 6.447699 6.936141 7.206765 0.664131 0.789752 0.897678
720 6.435092 6.889881 7.143933 0.664131 0.790485 0.890746
730 6.383292 6.840071 7.113650 0.664131 0.789268 0.890746
740 6.298214 6.789257 7.045603 0.664131 0.789577 0.890746
750 6.298214 6.743353 7.009574 0.664131 0.788329 0.890746
760 6.298214 6.697329 6.978562 0.664131 0.786530 0.890746
770 6.294203 6.650841 6.885801 0.664131 0.784625 0.890746
780 6.273381 6.613871 6.830050 0.664131 0.780348 0.890746
790 6.193225 6.577617 6.786794 0.664131 0.774492 0.890746
800 6.193225 6.543213 6.739086 0.664131 0.776246 0.890746
810 6.159617 6.508073 6.709365 0.664131 0.775400 0.890746
820 6.159617 6.472442 6.668855 0.664131 0.775660 0.890746
830 6.159617 6.442142 6.644175 0.697276 0.776784 0.855807
840 6.076440 6.408794 6.610926 0.697276 0.777591 0.855807
850 6.076440 6.373327 6.570148 0.697276 0.778316 0.855807
860 6.076440 6.338728 6.551110 0.697276 0.777392 0.855807
870 6.065509 6.302326 6.532066 0.697276 0.779488 0.852668
880 6.065509 6.270442 6.470704 0.710578 0.782495 0.852668
890 6.065509 6.243844 6.390695 0.713180 0.781904 0.843117
900 6.037953 6.221208 6.355266 0.725361 0.785614 0.843117
910 6.037953 6.203806 6.298214 0.727455 0.788338 0.843117
920 5.986403 6.182007 6.298214 0.724475 0.784986 0.843117
930 5.986403 6.160483 6.292470 0.684522 0.782548 0.843117
940 5.986403 6.141571 6.252799 0.684522 0.778147 0.843117
950 5.986403 6.124489 6.221832 0.684522 0.778009 0.843117
960 5.976152 6.110532 6.190319 0.684522 0.779004 0.843117
970 5.976152 6.095613 6.187480 0.684522 0.777549 0.843117
980 5.976152 6.082724 6.159617 0.684522 0.774256 0.843117
990 5.976152 6.068557 6.159617 0.684522 0.767210 0.843117
1000 5.910833 6.054369 6.138919 0.665430 0.761109 0.843117
1010 5.910833 6.041597 6.134900 0.665430 0.752088 0.843117
1020 5.910833 6.032841 6.073601 0.665430 0.746979 0.790334
1030 5.910833 6.025423 6.067856 0.665430 0.746396 0.778334
1040 5.910833 6.018918 6.054628 0.665430 0.742548 0.778334
1050 5.910833 6.010904 6.051722 0.665430 0.735649 0.778334
1060 5.910833 6.000732 6.051722 0.665430 0.727066 0.778334
1070 5.910833 5.989893 6.048883 0.665430 0.718541 0.778334
1080 5.910833 5.979111 6.048883 0.665430 0.710090 0.778334
1090 5.910833 5.970814 6.037953 0.665430 0.703315 0.778334
1100 5.910833 5.959980 6.005376 0.665430 0.698591 0.724475
1110 5.910833 5.952089 5.986403 0.665430 0.697717 0.724475
1120 5.910833 5.945288 5.986403 0.665430 0.692403 0.724475
1130 5.910833 5.939242 5.986403 0.665430 0.687680 0.724475
1140 5.910833 5.931685 5.986403 0.665430 0.681775 0.724475
1150 5.910833 5.924128 5.986403 0.665430 0.675871 0.724475
1160 5.910833 5.916571 5.986403 0.665430 0.669966 0.724475
1170 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1180 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1190 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1200 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1210 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1220 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1230 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1240 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1250 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1260 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1270 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1280 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1290 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1300 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1310 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1320 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1330 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1340 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1350 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1360 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1370 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1380 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1390 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1400 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1410 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1420 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1430 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1440 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1450 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1460 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1470 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1480 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1490 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1500 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1510 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1520 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1530 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1540 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1550 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
1560 5.910833 5.910833 5.910833 0.665430 0.665430 0.665430
