# generation power_min power_avg power_max util_min util_avg util_max
1 43.030481 43.719634 44.489252 0.785833 0.809960 0.830159
10 42.962119 43.630409 44.143313 0.788677 0.812769 0.831790
20 42.948595 43.539508 43.997780 0.796961 0.815592 0.836230
30 42.885574 43.453733 43.904164 0.798851 0.818006 0.836230
40 42.738952 43.373918 43.807532 0.799438 0.820258 0.837519
50 42.603444 43.292174 43.735848 0.803308 0.822395 0.843539
60 42.469058 43.207240 43.669331 0.807460 0.824657 0.846882
70 42.469058 43.124332 43.553877 0.811171 0.826823 0.846882
80 42.469058 43.050321 43.444079 0.811171 0.828423 0.846882
90 42.361757 42.986504 43.396464 0.814879 0.830135 0.849645
100 42.361757 42.918463 43.276524 0.814879 0.831503 0.849645
110 42.361757 42.864182 43.201661 0.815191 0.832871 0.849645
120 42.284950 42.798262 43.133698 0.823078 0.834470 0.849645
130 42.284950 42.740922 43.059717 0.824466 0.835681 0.849645
140 42.284950 42.689328 42.987628 0.824466 0.836759 0.849645
150 42.133195 42.635983 42.922244 0.827512 0.838178 0.851997
160 42.133195 42.586459 42.862587 0.827546 0.839219 0.851997
170 41.986697 42.530444 42.821971 0.827546 0.840684 0.853545
180 41.947559 42.482431 42.749973 0.830449 0.841933 0.853545
190 41.947559 42.435665 42.675408 0.830449 0.843185 0.853545
200 41.947559 42.398660 42.614701 0.832661 0.844321 0.853545
210 41.947559 42.358839 42.579007 0.836674 0.845542 0.854938
220 41.947559 42.321764 42.543433 0.838478 0.846343 0.854938
230 41.930278 42.281218 42.481770 0.838478 0.847363 0.857549
240 41.930278 42.240583 42.457372 0.839416 0.848218 0.859294
250 41.926516 42.196611 42.425335 0.839416 0.849150 0.859294
260 41.891881 42.155392 42.385583 0.839915 0.850157 0.859315
270 41.885739 42.117440 42.339728 0.840385 0.850904 0.859315
280 41.802725 42.079605 42.294798 0.845403 0.851876 0.862886
290 41.802725 42.045045 42.243422 0.845403 0.852440 0.862886
300 41.745480 42.009895 42.199214 0.845403 0.853004 0.865239
310 41.743739 41.976327 42.163171 0.845988 0.853762 0.865239
320 41.687132 41.942638 42.133195 0.845988 0.854379 0.867507
330 41.654717 41.907035 42.103427 0.847465 0.855750 0.867507
340 41.654717 41.880622 42.041619 0.849223 0.856541 0.867507
350 41.647994 41.858092 41.986697 0.849223 0.857553 0.867507
360 41.647994 41.836308 41.985135 0.851492 0.858793 0.867507
370 41.647994 41.816946 41.944608 0.852780 0.859522 0.867507
380 41.615579 41.797593 41.921775 0.853627 0.860310 0.867507
390 41.615579 41.779750 41.891139 0.853627 0.861028 0.867507
400 41.599928 41.759763 41.872179 0.853818 0.861913 0.867507
410 41.599928 41.742808 41.849260 0.853818 0.862653 0.867507
420 41.549702 41.723609 41.825511 0.858018 0.863619 0.871618
430 41.510610 41.707928 41.771220 0.859660 0.864183 0.871639
440 41.502323 41.692863 41.766245 0.860973 0.864677 0.871639
450 41.486317 41.677493 41.766245 0.860973 0.864971 0.871639
460 41.486317 41.660524 41.750718 0.860973 0.865396 0.871639
470 41.479027 41.643388 41.745480 0.861165 0.865804 0.871639
480 41.479027 41.625388 41.720365 0.862743 0.866316 0.871639
490 41.479027 41.607743 41.706342 0.862909 0.866768 0.871639
500 41.479027 41.591987 41.681227 0.862909 0.867148 0.871639
510 41.441483 41.576048 41.651238 0.863153 0.867665 0.873441
520 41.441483 41.561076 41.647994 0.863956 0.868220 0.873441
530 41.428731 41.545144 41.628397 0.863956 0.868624 0.873441
540 41.428731 41.531664 41.612549 0.865422 0.869099 0.873441
550 41.405435 41.517106 41.611181 0.865422 0.869570 0.874949
560 41.405435 41.501558 41.599928 0.866426 0.870139 0.874949
570 41.405435 41.488544 41.560422 0.867159 0.870627 0.874949
580 41.367116 41.474566 41.542054 0.867224 0.871165 0.876355
590 41.367116 41.461638 41.516747 0.868670 0.871790 0.876355
600 41.367116 41.452466 41.514495 0.868670 0.872272 0.876355
610 41.367116 41.442607 41.502323 0.869014 0.872809 0.876355
620 41.367116 41.434984 41.479027 0.870652 0.873208 0.876355
630 41.367116 41.428351 41.479027 0.870652 0.873586 0.876355
640 41.367116 41.419542 41.479027 0.870652 0.874053 0.876355
650 41.367116 41.411649 41.479027 0.870652 0.874494 0.876355
660 41.367116 41.406547 41.441483 0.870896 0.874694 0.876355
670 41.367116 41.401109 41.441483 0.870896 0.874896 0.876355
680 41.367116 41.396242 41.405435 0.874470 0.875183 0.876355
690 41.367116 41.394409 41.405435 0.874470 0.875235 0.876355
700 41.367116 41.391810 41.405435 0.874470 0.875314 0.876355
710 41.367116 41.388827 41.405435 0.874470 0.875408 0.876355
720 41.367116 41.385378 41.405435 0.874470 0.875535 0.876355
730 41.367116 41.381546 41.405435 0.874470 0.875675 0.876355
740 41.367116 41.377947 41.405435 0.874470 0.875799 0.876355
750 41.367116 41.374115 41.405435 0.874470 0.875940 0.876355
760 41.367116 41.370734 41.390412 0.874470 0.876087 0.876355
770 41.367116 41.368404 41.390412 0.874470 0.876251 0.876355
780 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
790 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
800 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
810 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
820 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
830 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
840 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
850 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
860 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
870 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
880 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
890 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
900 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
910 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
920 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
930 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
940 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
950 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
960 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
970 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
980 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
990 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1000 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1010 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1020 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1030 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1040 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1050 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1060 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1070 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1080 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
1090 41.367116 41.367116 41.367116 0.876355 0.876355 0.876355
