# generation power_min power_avg power_max util_min util_avg util_max
1 39.234948 39.234948 39.234948 1.173593 1.460085 1.499929
10 38.608183 22.309699 38.608183 0.834331 1.427243 1.499929
20 38.608183 21.026663 38.608183 0.781341 1.386846 1.499929
30 37.894088 20.335697 37.894088 0.781341 1.353407 1.499929
40 35.324323 19.886568 35.324323 0.781341 1.313259 1.499929
50 35.324323 19.832140 35.324323 0.781341 1.272591 1.499929
60 26.897083 19.362017 26.897083 0.661730 1.225712 1.499929
70 24.723371 19.065737 24.723371 0.661730 1.174852 1.496896
80 24.723371 18.692527 24.723371 0.590871 1.119959 1.495580
90 24.723371 18.505057 24.723371 0.590871 1.064405 1.495580
100 14.478838 18.112909 24.723371 0.590871 1.006412 1.413551
110 14.478838 17.842849 24.723371 0.587768 0.966243 1.413551
120 14.478838 17.624394 22.781000 0.581840 0.932712 1.211122
130 14.478838 17.271111 21.838397 0.581840 0.918275 1.197473
140 14.269950 16.812044 20.691473 0.566749 0.898051 1.197473
150 14.216149 16.552097 19.518170 0.566749 0.880646 1.149921
160 14.073264 16.124045 18.237078 0.566749 0.870027 1.093730
170 13.414635 15.825336 17.723307 0.566749 0.852350 1.086752
180 13.055034 15.501504 17.342122 0.566749 0.843827 1.040715
190 13.029382 15.224779 16.919316 0.566749 0.829178 1.028686
200 12.874184 14.942164 16.586768 0.566749 0.821619 1.026808
210 12.379985 14.667105 16.288052 0.566749 0.824395 1.021201
220 12.379985 14.370179 15.869124 0.576076 0.821980 1.021201
230 12.359341 14.107579 15.637717 0.554225 0.815309 1.021201
240 11.665736 13.839599 15.280101 0.554225 0.813531 1.021201
250 11.665736 13.611902 15.001918 0.554225 0.811951 1.021201
260 11.501519 13.402470 14.598868 0.554225 0.810146 1.012635
270 11.328042 13.176237 14.365820 0.580568 0.821040 1.012635
280 11.328042 12.986487 14.216149 0.580568 0.816293 1.012635
290 11.238095 12.784102 13.831995 0.580568 0.819129 1.012635
300 13.606970 12.626310 13.606970 0.583928 0.828901 1.070679
310 13.315834 12.441452 13.315834 0.583928 0.824511 1.070679
320 10.466849 12.242600 13.162249 0.559175 0.825923 1.070679
330 10.466849 12.061869 12.992530 0.535832 0.821958 1.070679
340 10.466849 11.905504 12.832279 0.535832 0.830223 1.070679
350 10.466849 11.723391 12.688654 0.535832 0.833136 1.070679
360 10.281924 11.542719 12.522612 0.535832 0.837937 1.070679
370 10.281924 11.363030 12.356400 0.535832 0.839701 1.070679
380 10.117577 11.202791 12.188085 0.535832 0.837865 1.070679
390 10.117577 11.031935 11.906294 0.535832 0.850449 1.070679
400 9.450918 10.872709 11.744825 0.535832 0.846025 1.009300
410 9.299356 10.718710 11.564550 0.595900 0.848770 1.009300
420 9.299356 10.598878 11.328042 0.595900 0.844874 1.002783
430 9.163003 10.450245 11.157068 0.595900 0.841809 1.002783
440 9.163003 10.341618 11.031737 0.595900 0.842451 1.002783
450 8.881699 10.190908 10.848410 0.643358 0.842625 1.002783
460 8.659554 10.066829 10.725123 0.642917 0.831585 0.996709
470 8.590696 9.921611 10.564331 0.642917 0.827096 0.990238
480 8.244391 9.777674 10.478386 0.642917 0.825665 0.990238
490 8.244391 9.636711 10.408457 0.642917 0.824450 0.990238
500 8.144638 9.476333 10.350460 0.642917 0.826427 0.989887
510 7.991168 9.322644 10.248628 0.642917 0.826853 0.989887
520 7.991168 9.169193 10.116583 0.651760 0.828861 0.993407
530 7.991168 9.035905 9.867136 0.651760 0.837390 0.993407
540 7.991168 8.899897 9.671857 0.686939 0.838301 0.993407
550 7.991168 8.763631 9.482506 0.686939 0.839922 0.993407
560 7.838006 8.648309 9.290507 0.686939 0.837329 0.993407
570 7.775421 8.531815 9.127021 0.669614 0.834217 0.993407
580 7.775421 8.426673 9.017195 0.669614 0.830906 0.993407
590 7.359438 8.314287 8.944917 0.669614 0.819591 0.983632
600 7.359438 8.195433 8.799801 0.657875 0.803225 0.983632
610 7.214914 8.091956 8.586228 0.657875 0.803003 0.983632
620 7.066693 7.973342 8.524727 0.657875 0.790732 0.983632
630 6.943344 7.855462 8.451882 0.622859 0.784938 0.983632
640 6.943344 7.745755 8.338701 0.622859 0.778232 0.981738
650 6.834359 7.628309 8.213185 0.622859 0.772189 0.981738
660 6.820072 7.513541 8.144638 0.622859 0.769113 0.981738
670 6.581702 7.412583 7.996648 0.622859 0.762593 0.950429
680 6.581702 7.302708 7.879784 0.616631 0.759205 0.950429
690 6.581702 7.208526 7.790556 0.616631 0.759350 0.950429
700 6.549930 7.120721 7.689096 0.616631 0.760549 0.950429
710 6.538544 7.045526 7.523107 0.616631 0.759135 0.907767
720 6.538544 6.971507 7.395818 0.615508 0.754766 0.907767
730 6.504205 6.901509 7.310011 0.615508 0.753371 0.897060
740 6.324732 6.833423 7.214914 0.615508 0.749621 0.891091
750 6.306565 6.777001 7.077488 0.615508 0.749088 0.891091
760 6.306565 6.719731 7.010871 0.615508 0.746224 0.891091
770 6.227824 6.666184 6.930735 0.615508 0.744865 0.891091
780 6.227824 6.623959 6.888579 0.615508 0.739006 0.821105
790 6.227824 6.577796 6.849743 0.615508 0.737346 0.821105
800 6.227824 6.532626 6.796753 0.615508 0.733390 0.821105
810 6.122960 6.479639 6.754498 0.615508 0.731088 0.792086
820 6.052782 6.426468 6.681794 0.615508 0.721602 0.792086
830 6.052782 6.382372 6.640083 0.615618 0.720512 0.792086
840 5.980078 6.339509 6.581227 0.615618 0.715896 0.779187
850 5.980078 6.294359 6.538544 0.615618 0.705546 0.779187
860 5.980078 6.252546 6.494991 0.615618 0.700382 0.779187
870 5.980078 6.219149 6.465840 0.615618 0.691830 0.753538
880 5.980078 6.185346 6.361592 0.615618 0.683957 0.737489
890 5.980078 6.156806 6.317863 0.615618 0.676202 0.737489
900 5.980078 6.128282 6.281291 0.615887 0.665672 0.737489
910 5.968520 6.102956 6.237123 0.615887 0.658689 0.737392
920 5.968520 6.079683 6.227824 0.615887 0.646857 0.737392
930 5.968520 6.057532 6.197824 0.615887 0.635006 0.737392
940 5.968520 6.038636 6.167561 0.615887 0.629088 0.737039
950 5.968520 6.021724 6.119082 0.615887 0.625584 0.737039
960 5.968520 6.008559 6.088820 0.617068 0.618540 0.619030
970 5.968520 5.997685 6.088820 0.617068 0.618540 0.619030
980 5.968520 5.986695 6.088820 0.617068 0.618543 0.619030
990 5.968520 5.979731 5.980078 0.618642 0.618654 0.619030
1000 5.968520 5.979731 5.980078 0.618642 0.618654 0.619030
1010 5.968520 5.979500 5.980078 0.618642 0.618661 0.619030
1020 5.968520 5.979269 5.980078 0.618642 0.618669 0.619030
1030 5.968520 5.979269 5.980078 0.618642 0.618669 0.619030
1040 5.968520 5.979269 5.980078 0.618642 0.618669 0.619030
1050 5.968520 5.979269 5.980078 0.618642 0.618669 0.619030
1060 5.968520 5.979269 5.980078 0.618642 0.618669 0.619030
1070 5.968520 5.979038 5.980078 0.618642 0.618677 0.619030
1080 5.968520 5.979038 5.980078 0.618642 0.618677 0.619030
1090 5.968520 5.978807 5.980078 0.618642 0.618685 0.619030
1100 5.967281 5.978435 5.980078 0.618642 0.618697 0.619074
1110 5.967281 5.977973 5.980078 0.618642 0.618713 0.619074
1120 5.967281 5.977511 5.980078 0.618642 0.618728 0.619074
1130 5.967281 5.976792 5.980078 0.618642 0.618752 0.619074
1140 5.967281 5.975934 5.980078 0.618642 0.618781 0.619074
1150 5.967281 5.974922 5.980078 0.618642 0.618815 0.619074
1160 5.967281 5.973923 5.980078 0.618642 0.618849 0.619074
1170 5.967281 5.973217 5.980078 0.618642 0.618873 0.619074
1180 5.967281 5.971975 5.980078 0.618642 0.618915 0.619074
1190 5.967281 5.970708 5.980078 0.618642 0.618957 0.619074
1200 5.967281 5.969440 5.980078 0.618642 0.619000 0.619074
1210 5.967281 5.968185 5.980078 0.618642 0.619042 0.619074
1220 5.967281 5.967715 5.968520 0.619030 0.619058 0.619074
1230 5.967281 5.967591 5.968520 0.619030 0.619063 0.619074
1240 5.967281 5.967467 5.968520 0.619030 0.619067 0.619074
1250 5.967281 5.967343 5.968520 0.619030 0.619072 0.619074
1260 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1270 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1280 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1290 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1300 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1310 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1320 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1330 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1340 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1350 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1360 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1370 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1380 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1390 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1400 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1410 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1420 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1430 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1440 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1450 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1460 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1470 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1480 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1490 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1500 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1510 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1520 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1530 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1540 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1550 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1560 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1570 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1580 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1590 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1600 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1610 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1620 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1630 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1640 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1650 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1660 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1670 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1680 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1690 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1700 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1710 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1720 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1730 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1740 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1750 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1760 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1770 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1780 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1790 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1800 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1810 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1820 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1830 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1840 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1850 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1860 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1870 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1880 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1890 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1900 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1910 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1920 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1930 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1940 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1950 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
1960 5.967281 5.967281 5.967281 0.619074 0.619074 0.619074
