Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.19 .23 .84 1.22 .12 .64 14.00 29.00 29.00 28.00 
0.1 CO-DMO 2.21 .22 .56 1.51 .14 .72 12.00 24.00 26.00 38.00 
0.1 Offloading 4.07 .02 2.19 1.69 .18 .76 100.00 0 0 0 
0.1 DVS 3.31 .58 2.27 1.03 0 0 8.00 18.00 35.00 39.00 
0.1 Baseline 7.69 .11 6.11 1.57 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.71 .46 1.13 1.25 .33 .71 12.00 18.00 33.00 37.00 
0.2 CO-DMO 2.50 .30 .87 1.31 .31 .79 16.00 16.00 28.00 40.00 
0.2 Offloading 6.17 .05 3.67 2.13 .36 .75 100.00 0 0 0 
0.2 DVS 6.98 .99 5.40 1.57 0 0 9.00 22.00 45.00 24.00 
0.2 Baseline 14.36 .25 12.32 2.04 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 4.20 .59 1.35 2.42 .43 .77 7.00 17.00 31.00 45.00 
0.3 CO-DMO 3.48 .56 1.25 1.75 .47 .77 16.00 14.00 25.00 45.00 
0.3 Offloading 6.42 .05 3.60 2.22 .59 .86 100.00 0 0 0 
0.3 DVS 13.01 .99 10.99 2.02 0 0 22.00 45.00 28.00 5.00 
0.3 Baseline 18.80 .36 17.31 1.48 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 4.15 .57 1.31 2.03 .80 .86 9.00 24.00 31.00 36.00 
0.4 CO-DMO 3.70 .68 1.56 1.46 .66 .79 8.00 22.00 35.00 35.00 
0.4 Offloading 8.08 .09 5.34 2.03 .71 .80 100.00 0 0 0 
0.4 DVS 18.32 1.00 15.54 2.77 0 0 35.00 41.00 21.00 3.00 
0.4 Baseline 24.53 .49 23.05 1.48 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 5.75 .84 2.23 2.71 .80 .82 18.00 18.00 29.00 35.00 
0.5 CO-DMO 5.18 .55 2.19 2.01 .98 .81 10.00 23.00 40.00 27.00 
0.5 Offloading 9.12 .09 5.38 2.74 .99 .84 100.00 0 0 0 
0.5 DVS 25.62 1.00 23.01 2.61 0 0 59.00 28.00 13.00 0 
0.5 Baseline 29.85 .59 27.92 1.93 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 5.91 .66 2.55 2.07 1.28 .85 10.00 34.00 31.00 25.00 
0.6 CO-DMO 5.52 .63 2.12 2.12 1.28 .84 16.00 24.00 33.00 27.00 
0.6 Offloading 14.03 .18 9.58 3.54 .89 .73 100.00 0 0 0 
0.6 DVS 32.83 .99 29.40 3.43 0 0 74.00 20.00 5.00 1.00 
0.6 Baseline 36.96 .74 34.87 2.09 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 8.20 .96 4.48 2.45 1.26 .80 15.00 25.00 34.00 26.00 
0.7 CO-DMO 5.96 .61 2.49 1.82 1.64 .86 19.00 27.00 30.00 24.00 
0.7 Offloading 10.49 .13 7.12 2.19 1.17 .84 100.00 0 0 0 
0.7 DVS 40.77 1.00 37.63 3.14 0 0 86.00 12.00 2.00 0 
0.7 Baseline 41.36 .87 40.11 1.25 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 13.47 .98 9.18 3.00 1.29 .70 42.00 21.00 25.00 12.00 
0.8 CO-DMO 12.24 .97 8.64 2.25 1.35 .68 27.00 18.00 41.00 14.00 
0.8 Offloading 13.36 .18 9.50 2.42 1.43 .81 100.00 0 0 0 
0.8 DVS 46.36 .99 42.11 4.25 0 0 91.00 9.00 0 0 
0.8 Baseline 47.66 .97 45.25 2.41 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 40.00 1.00 34.90 4.46 .62 .31 81.00 18.00 1.00 0 
0.9 CO-DMO 24.77 .99 20.13 3.56 1.07 .53 52.00 31.00 10.00 7.00 
0.9 Offloading 15.30 .21 10.81 2.90 1.58 .80 100.00 0 0 0 
0.9 DVS 56.62 1.00 49.34 7.28 0 0 100.00 0 0 0 
0.9 Baseline 53.20 .99 48.03 5.17 0 0 100.00 0 0 0 
